many players on a box lacrosse team by [MASK].	six
the nba 3 second rule start in [MASK].	1936
	fiction
	atoms
the movie deuces come out [MASK].	2017
[MASK] has the most followers on instagram in the world.	Instagram
	tabla
[MASK] won the all ireland football final 2017.	Dublin
[MASK] hit the most 3 pointers in a nba game.	13
the nissan armada body style change in [MASK].	2016
	678-999-8212
[MASK] does oregon state play in the college world series.	Arkansas
[MASK] sang theres a rat in my kitchen.	UB40
the first freeway built in los angeles in [MASK].	1940
the wizard of oz made in technicolor in [MASK].	1939
	4
last time england were in a world cup semi final in [MASK].	2018
	51
the movie stand by me made in [MASK].	1986
the name of the youth loved by salmacis is [MASK].	Hermaphroditus
in the world by [MASK].	66,579
the city of green bay founded in [MASK].	1634
the ilium the ischium and the pubis meet in [MASK].	acetabulum
[MASK] is the founder of pak n save.	Foodstuffs
non-british company owns both the famous british rolls- royce and mini brands [MASK].	BMW
many times have the dodgers gone to world series by [MASK].	19
the writ of habeas corpus created in [MASK].	1679
the last time an incumbent president lost in [MASK].	1992
the proper term used for the signature given by celebrities to their fans is [MASK].	Autograph
[MASK] directed sign of the times music video.	Woodkid
defined as the chance that a given event will occur is [MASK].	Probability
[MASK] has won the most concacaf gold cups.	Mexico
the first battle of the texas revolution take place in [MASK].	Gonzales
the official religion of the soviet union was [MASK].	atheism
tiger woods win his last pga tournament in [MASK].	2007
the first beanie baby come out in [MASK].	1993
the macy 's thanksgiving day parade held in [MASK].	Manhattan
religious groups lived in the new england colonies [MASK].	Puritans
croatia finish 3rd in the world cup in [MASK].	1998
there by [MASK].	450,100
esperanza live in the house on mango street in [MASK].	Chicago
[MASK] is making everyone sick in minor details.	Mia
the last time the kansas city chiefs went to the superbowl in [MASK].	1969
the angels became the los angeles angels in [MASK].	1961
[MASK] 's won the most little league world series.	Taiwan
the supreme court decide the case miranda vs. arizona in [MASK].	1966
free movement in the eu introduced in [MASK].	1957
hand foot and mouth disease begin in [MASK].	1957
[MASK] 's winning the cowboys or the redskins.	Cowboys
[MASK] sings the song sorry that i let you down.	NF
the first tower block built in england in [MASK].	1951
[MASK] was sent to england to convert the pagan anglo-saxons.	missionaries
figure of speech uses words that imitate the sounds they refer to [MASK].	Onomatopoeia
athens made the capital of greece in [MASK].	1834
ozil have in his career by [MASK].	25
our town by thornton wilder is [MASK].	Drama
[MASK] sang the song life in the fast lane.	Eagles
[MASK] is the girl in far east movement like a g6.	Dev
many seats required to make government in pakistan 2018 by [MASK].	342
they speak in beijing [MASK].	Mandarin
[MASK] sang desert on a horse with no name.	America
[MASK] was the first indian who win world junior badminton championship.	Nehwal
the national museum of natural history built in [MASK].	1910
the zombies called in the last of us are [MASK].	infected
the first go pro come out in [MASK].	2004
the last time argentina won the world cup in [MASK].	2014
many episodes season 3 odd mom out by [MASK].	10
many chapters in ruth in the bible by [MASK].	four
many animals died in the lake nyos tragedy by [MASK].	3,500
the women 's first world cup held in [MASK].	1991
's the abv of pabst blue ribbon [MASK].	4.6%
	yellow
women 's cricket start in india in [MASK].	1973
many kanals in one acre in pakistan by [MASK].	8
you call a person who does acrobatics [MASK].	acrobat
the name of the cat in tom and jerry is [MASK].	Tom
[MASK] killed katie in the movie mystic river.	Dave
in the narnia series by [MASK].	seven
the last time a detroit sports team won a championship in [MASK].	2008
there of knight rider by [MASK].	four
[MASK] the girl in somebody that i used to know.	Kimbra
the us first start using daylight savings time in [MASK].	1918
country 's team has won the 2017 fifa under 17 worldcup [MASK].	England
they add ai n't to the dictionary in [MASK].	1961
	Mesopotamia
	2010
	Electronegativity
[MASK] won the most states in the 2016 presidential election.	Trump
the capital of azerbaijan in europe is [MASK].	Baku
i can only imagine movie made in [MASK].	2018
when you say nothing at all written in [MASK].	1988
	9
national open university located in abuja in [MASK].	Jabi
	formaldehyde
twin was in full house more [MASK].	Mary-Kate
journey to the center of the earth made in [MASK].	1864
many teams in the nba in 1956 by [MASK].	8
the masterchef kitchen located in melbourne 2017 in [MASK].	Flemington
chronicles of narnia have by [MASK].	seven
it called when a vampire hypnotizes you in vampire diaries is [MASK].	compel
gecko 's name on pj masks is [MASK].	Greg
many eps in attack on titan season 1 by [MASK].	25
the latest is [MASK].	64.0
the pac 12 have by [MASK].	500
[MASK] sings the song it never rains in southern california.	Hammond
from new york by [MASK].	7
the tallest mountain in the north america is [MASK].	Denali
	West
carrie and sebastian get back together in season 2 in [MASK].	21
	Jasper
	Erosion
the last time the east all stars won in [MASK].	2014
new york giants move to san francisco in [MASK].	1958
the olympics start every 2 years in [MASK].	1994
year saw the formation of the brazilian republic [MASK].	1889
many seasons of teenage mutant ninja turtles nickelodeon by [MASK].	5
the movie knock knock come out in [MASK].	2015
kobe bryant win his first ring in [MASK].	2000
[MASK] is sabrina carpenter playing in the hate u give.	Hailey
	1937
	ale
the e stand for in 4l60e [MASK].	electronic
	Elizabeth
there by [MASK].	64
	Byzantine
[MASK] wins the shiva bowl in season 6.	Ruxin
the largest state in south india in area is [MASK].	Karnataka
the last time cleveland browns went to playoffs in [MASK].	2002
[MASK] is the mother of kevin 's son in coronation street.	Molly
many episodes of married at first sight season 5 by [MASK].	32
	adhesion
	32
the first push to start car come out in [MASK].	1998
the first thrift store open persona 5 in [MASK].	1937
the internet become available in homes in [MASK].	1979
	Scribblenauts
	134
the barons do in the feudal system [MASK].	tenants-in-chief
there by [MASK].	eleven
[MASK] declared state of emergency in kenya in 1952.	British
many justices currently serve on the us supreme court by [MASK].	nine
the norfolk and norwich hospital built in [MASK].	2001
the symbol for approximately equal to [MASK].	≈
the steelers last won a superbowl in [MASK].	2008
mount and blade bannerlord be released in [MASK].	2017
[MASK] is credited with the first list of all 27 of the current list of canonical new testament texts.	Athanasius
the last time england made it to a world cup semi final in [MASK].	1990
[MASK] is opening for red hot chili peppers hamilton.	Deerhoof
in the olympics by [MASK].	168
	Wilkerson
	ratify
fairy tail final season coming out in [MASK].	2018
new episodes of better call saul in [MASK].	2018
the mayflower first come to america in [MASK].	1620
[MASK] sang my heart beats like a drum.	ATC
top of the lake china girl made in [MASK].	2017
pele score for santos by [MASK].	643
[MASK] did rachel have a baby with on friends.	Ross
[MASK] does lou end up with on heartland.	Mitch
the concept of sustainable development come into existence in [MASK].	1987
the tigers name off of aladdin is [MASK].	Rajah
in season six of arrow by [MASK].	23
drinking age change to 21 in connecticut in [MASK].	1985
the last time collingwood played finals in [MASK].	2013
ichigo get his powers back the first time [MASK].	325
roger federer win the french open in [MASK].	2009
the last super bowl dallas cowboys won in [MASK].	1995
the name of the chameleon in tangled is [MASK].	Pascal
	Lovers
canada gain their independence from britain in [MASK].	1982
university of maryland win the national championship in [MASK].	2002
[MASK] goes first in chess black or white.	White
area code 978 in usa is [MASK].	Massachusetts
oh what a beautiful morning written in [MASK].	1943
anc have in parliament 2016 by [MASK].	249
there in ohio by [MASK].	99
there in the us army by [MASK].	231
the united states postal service started in [MASK].	1792
[MASK] did chris pratt play in guardians of the galaxy.	Star-Lord
	Newton
the last time the chicago white sox won the world series in [MASK].	2005
the high court of kerala located in [MASK].	Kochi
many episodes in season 5 of white collar by [MASK].	13
the first mcdonald 's open in australia in [MASK].	1971
the term globalization come into use in [MASK].	1970s
[MASK] 's the devil wears prada based on.	Wintour
rocky horror picture show come out in [MASK].	1975
charles dickens publish a christmas carol in [MASK].	1843
the first commercial mobile phone released in [MASK].	1949
[MASK] does cameron boyce play on jake and the neverland pirates.	Jake
[MASK] does ariel winter voice on phineas and ferb.	Gretchen
	mutual
the country with the largest muslim population is [MASK].	Afghanistan
the term dead end come from in [MASK].	French
figure skating introduced to the olympics in [MASK].	1908
[MASK] plays lucy on the big bang theory.	Micucci
many episodes of kc undercover season 3 by [MASK].	24
the last time roe v wade was challenged in [MASK].	2016
the first home alone take place in [MASK].	Chicago
disney world in florida have by [MASK].	62,000
in seraph of the end season 2 by [MASK].	12
[MASK] is killing teresa in happy death day.	Lori
[MASK] was the first king of ancient india.	Sudas
many sailors survived the sinking of the uss indianapolis by [MASK].	317
the main language in czech republic is [MASK].	Czech
you wear on st joseph 's day [MASK].	red
's the name of the donkey on shrek [MASK].	Donkey
the total population of new zealand is [MASK].	4,693,000
china adopt the one child policy in [MASK].	1979
	stapedectomy
the capital city of the aztec empire was [MASK].	Tenochtitlan
's the latest season of rupaul 's drag race [MASK].	10
andy go at the end of shawshank redemption in [MASK].	Zihuatanejo
the french and indian war start in [MASK].	Pennsylvania
[MASK] is the greatest horse that ever lived.	Secretariat
[MASK] is the real winner of 1965 war.	India
physical effect causes circulation in the atmosphere of jupiter [MASK].	convection
the book of eli come out in [MASK].	2010
hearst castle became a state park in [MASK].	1954
the population of eagle river wi is [MASK].	1,398
there at vienna airport by [MASK].	four
the end of the bone called is [MASK].	epiphysis
[MASK] sang ca n't live without you originally.	Badfinger
the last time the steelers won a playoff game in [MASK].	2016
[MASK] was the king after bharata in mahabharata.	Bhumanyu
the new york giants win in 2017 by [MASK].	3
	Pakistan
the movie saturday night fever come out in [MASK].	1977
	Mark
[MASK] won the case in mueller v. oregon.	Oregon
the person who does an autopsy is [MASK].	pathologist
there by [MASK].	two
new years day become a bank holiday in [MASK].	1871
the cubs win the world series last in [MASK].	2016
the dots on a domino called are [MASK].	spots
the last time michigan made it to the final four in [MASK].	2018
many states border an ocean in the united states by [MASK].	twenty-three
many wars has pakistan fought with india by [MASK].	four
the first 10 dollar bill made in [MASK].	1861
	protolith
	47.7%
the cincinnati bengals last win a playoff game in [MASK].	1990
[MASK] won the last mens cricket world cup.	Australia
stacey 's surname in gavin and stacey is [MASK].	West
you have to be to smoke cigarettes in georgia by [MASK].	18
the first fidget spinners come out in [MASK].	1993
the last time england won the workd cup in [MASK].	England
the last earthquake occur in india in [MASK].	2017-01-03
the last time the padres made the playoffs in [MASK].	2006
	E-commerce
labor day become an official federal holiday in [MASK].	1894
daylight savings time created in the usa in [MASK].	1918
	Greenwich
	Portugal
live like you were dying written in [MASK].	2004
the first ice cream parlor opened in [MASK].	1686
had created the office of the secretary of state for india [MASK].	1858
	Surat
michael myers when he killed his older sister by [MASK].	six
[MASK] won the match between csk and sunrisers hyderabad.	CSK
michael jordan do the air jordan in [MASK].	1985
[MASK] dies at the end of west side story.	Tony
the land before time movies come out in [MASK].	1988
last time england was in semi final of world cup in [MASK].	2018
[MASK] sent the wedding video to gossip girl.	Dan
	50%
the element that is most abundant in the earth 's crust is [MASK].	oxygen
the song my heart will go on written in [MASK].	1997
the man from uncle take place in [MASK].	1963
they start putting iodine in salt in [MASK].	1924
[MASK] did simple simon met going to the fair.	pieman
	Ethnocentrism
the last debutantes presented at court in [MASK].	1958
the big 10 mens basketball tournament in [MASK].	2019
the name of the gang johnny utah infiltrated in point break was [MASK].	Ex-Presidents
the name of the roman god of war is [MASK].	Mars
	Mercy
	Bombay
the united kingdom come in the eurovision song contest in [MASK].	24th
[MASK] played lt dan taylor in forrest gump.	Sinise
many power rangers series has tommy been in by [MASK].	five
	Thrips
in season 7 of heartland by [MASK].	18
the last time the phillies won the world series in [MASK].	2008
many workers died building the golden gate by [MASK].	eleven
the name of hagrid 's spider is [MASK].	Aragog
[MASK] sang what do you want from me first.	Pink
the last episode of the office is [MASK].	Finale
's the last time the detroit tigers won the world series in [MASK].	1984
england make it to the world cup final in [MASK].	1966
the fugees sing killing me softly in [MASK].	1996
the muscle contract and does not lengthen nor shorten [MASK].	isometric
	eight
the last time the la dodgers won the world series in [MASK].	1988
bile go after it leaves the gallbladder in [MASK].	duodenum
the daytona 500 race by [MASK].	200
republic of ireland last qualify for world cup in [MASK].	2006
roger federer have by [MASK].	eight
scream the tv series coming back in [MASK].	2018
[MASK] won between oscar de la hoya and floyd mayweather.	Mayweather
the cruise ships leave from miami in [MASK].	PortMiami
you need to win in chess [MASK].	king
	Sharpsburg
the ombudsman ’ s office in england set up in [MASK].	1973
gun free zones become a thing in [MASK].	1990
[MASK] won the womens curling winter olympics 2018.	Sweden
raleigh north carolina located in [MASK].	Wake
festival of motorcycling first take place in [MASK].	1907
the first bottle of water made in [MASK].	1621
the population of the wasatch front is [MASK].	2,423,912
	Brussels
	matrilineal
pirates of the caribbean at world 's end is [MASK].	third
a octagon have by [MASK].	8
the last time the volcano erupted in tenerife in [MASK].	1909
	Ixion
the last time china had the olympics in [MASK].	2008
the last time we had a triple crown winner in [MASK].	2015
there in one tree hill by [MASK].	9
chitty chitty bang bang car made in [MASK].	Hertfordshire
[MASK] is the person that drives the train.	engineer
drinking and driving become illegal in canada in [MASK].	1921
hank the cow dog is [MASK].	mutt
the term great britain come into use in [MASK].	1474
	Cambodia
thought to have been descended from dinosaurs is [MASK].	birds
the drug on 21 jump street was [MASK].	HFS
many times has everton won the fa cup by [MASK].	five
the ambulance service start in the uk in [MASK].	1946
	100
	6,000
	1976-1987
many goals has lampard scored for england by [MASK].	29
