what country is the grand bahama island in?	Bahamas
what two countries invaded poland in the beginning of ww2?	Germany
which countries border the us?	Canada
what is nina dobrev nationality?	Bulgaria
what country does iceland belong to?	Iceland
what movies does taylor lautner play in?	Abduction
who was ishmael's mom?	Hagar
what are the major cities in france?	Paris
what city did esther live in?	Susa
what is martin cooper doing now?	Inventor
what did william shakespeare do for a living?	Poet
what county is heathrow airport in?	London
what type of car does michael weston drive?	Wishcraft
what timezone is australia gmt?	UTC+8
who does maggie grace play in taken?	Kim
what style of music did louis armstrong play?	Jazz
where does jackie french live?	Australia
what form of government was practiced in sparta?	Monarchy
where is jack daniels factory?	Tennessee
what is charles darwin famous for?	Evolution
what are the countries in the united kingdom?	Wales
where did benjamin franklin died?	Philadelphia
where did martin luther king got shot?	Memphis
who does christina milian have a baby by?	The-Dream
what jobs did ben franklin do?	Diplomat
what did rob kardashian get surgery for?	Appendicitis
what was nelson mandela's religion?	Methodism
who will win the 2011 nhl stanley cup?	Canada
what is henry clay known for?	Lawyer
what is the money of spain called?	Euro
where are sunbeam microwaves made?	Florida
what cities does ryanair fly to?	Bergamo
what instrument does justin bieber?	guitar
where did the casey anthony case take place?	Orlando
when were the texas rangers started?	1972
what do they call football in spanish?	XHVG-FM
where does niles crane live?	Seattle
where was gabriel faure born?	France
what language do australian people speak?	Lojban
who did ben stiller play in megamind?	Bernard
where did jane mansfield die?	Slidell
where is the thames river located?	London
what character does ellen play in finding nemo?	Dory
what 6 states border south dakota?	Iowa
what countries share borders with france?	Italy
what style of art is salvador dali?	Painting
what did george v die of?	Euthanasia
what would have happened if germany had won ww1?	de
where is the nation of greece located?	Europe
which countries have english as native language?	Canada
what sport does rebecca adlington compete in?	Swimming
where was the battle of antietam creek?	Pennsylvania
where is she from shakira?	Colombia
who did hera marry?	Zeus
what type of guitar does kirk hammett play?	guitar
what year did william mckinley became president?	1897
what do the islamic believe?	Muslims
what are the basic beliefs of sikhism?	Saṃsāra
what does australia export?	Energy
where did henry knox die?	Thomaston
who was the queen of the iceni tribe?	Boudica
what language do they speak in northern ireland?	Irish
what did abraham lincoln do before he was president?	Statesman
where does leland chapman live now?	Kailua
where was the roman colosseum located?	Rome
when did mayans predict end of the world?	2012
what albert einstein do for math?	Mathematician
what did joseph lister do for science?	Listerine
who uses new king james bible?	Christianity
when did joe walsh leave the eagles?	1980
what subatomic particles did jj thomson discover?	Electron
who is chelsea kane?	Singer
who is darwin and what is his theory?	Naturalist
what continent is south africa part of?	Africa
what is the china money called?	Renminbi
what do catholics call their god?	God
what is the capital of alaska state?	Juneau
who speaks farsi?	Canada
who were the major trade partners of russia?	Uzbekistan
where did nathaniel hawthorne die?	Plymouth
what are buddhist gods?	Āgama
where is the nation of palestine?	Eurasia
what are the greek titans?	Titanium
what countries speak english primarily?	Canada
where was leonardo da vinci when he died?	Amboise
what kind of government did the mali empire have?	Republic
what is the religion of israel people?	Judaism
what is mount st helens?	Stratovolcano
who is esther hicks?	Writer
in which province is johannesburg?	Gauteng
what type of art is henri matisse famous for?	Sculpture
who was louis riel?	Politician
what are the four nations of the uk?	Scotland
what disease did helen keller?	Deafness
where was greenpeace an international environmental organization founded?	Vancouver
where was the battle of waterloo held?	Waterloo
what was marilyn monroe known for?	Singer
where does lala anthony live?	Brooklyn
where was brad pitt born?	Shawnee
where is the euro 2012 tournament?	Italy
where did dolly parton grew up?	Sevierville
what state is rick santorum from?	Pennsylvania
what art movements was henri matisse involved in?	Fauvism
what countries did czechoslovakia become?	Slovakia
what type of music did richard wagner play?	Opera
where do most of the people live in japan?	Tokyo
in what country do they speak basque?	Spain
in what country is amsterdam?	Netherlands
what made jimi hendrix great?	guitar
what are the countries and capitals of central america?	Honduras
when was mary poppins made?	1964
what did king edward vi died from?	Tuberculosis
what religions are found in australia?	Catholicism
which countries does russia border?	Ukraine
where is st vincent de paul buried?	Paris
what did jimmy valvano die with?	Cancer
where did giovanni pierluigi da palestrina live?	Italy
who is michelle obama?	Writer
what did hans oersted discovered in 1819?	Aluminium
when did the lions last win a thanksgiving game?	Tombo
where did richard arkwright die?	Cromford
where did vietnam originate?	Asia
what year did scottie pippen come into the nba?	1987
where are you if you re in zagreb?	Croatia
which country does south africa border 2 the north?	Lesotho
what is brazil time zone?	UTC−02:00
who was tex beneke?	Singer
what are all the things thomas edison invented?	Phonograph
what is shakira's nationality?	Colombia
where is the nascar hall of fame?	Charlotte
who is gilbert gottfried snl?	Actor
what was christiaan barnard famous for?	Surgeon
what continent does israel belong to?	Asia
where is thomas jefferson's home?	Monticello
what is the capital of spain in 2010?	Madrid
where is the university of west alabama located?	Alabama
what did kenny everett die off?	AIDS
where did elvis presley started his career?	Memphis
what jobs did harriet tubman have?	Writer
where does unesco operate?	Paris
what language do people speak in iran?	Persian
what instrument does bela fleck play?	Banjo
what religion was mary todd lincoln?	Presbyterianism
where is the country of cyprus located?	Europe
what are king charles spaniels?	Dog
what year did the new york mets start?	1962
where did neil gaiman grow up?	Menomonie
what countries are in the andean region?	Brazil
what are the team colors for the pittsburgh steelers?	White
what are the major religions practiced in israel?	Judaism
what years did andrew jackson run for president?	3/4/1829
where did madoff live in nyc?	Queens
who was josh groban in crazy stupid love?	Richard
what did the scientist thomson discover?	Electron
who does the islam worship?	Allah
what is venus named for?	Planet
what movies have kenya moore produced?	Trois
what battle did germany surrender in ww2?	Berlin
where does liz mcclarnon live?	England
what city is fc schalke 04 in?	Gelsenkirchen
what was omar epps first movie?	Juice
where is eu parliament?	Brussels
where was president lyndon johnson from?	Austin
where do logan browning live?	Atlanta
when did mcdonalds officially open?	5/15/1940
where adidas originate?	Germany
what is 2pm est in philippines?	UTC+8
where are the pyramids of giza located?	Egypt
who were demeter's brothers and sisters?	Zeus
what province is canada's capital located in?	Ontario
